,ID,Name,HashName,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
63,2582,"Thomas ""Tom"" Alexander",c24371747c6f7068e052c221ee774065eb01ff02d88a7ce2e3681c1abdf5b95f,M,18.0,,,Canada,CAN,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 400 metres Freestyle,
64,2583,Buffy-Lynne Alexander-Williams,ceb04acf662a5006e454ebd089ef3e2eed57831c9422ddf5ce9d4a2f9144a3e4,F,23.0,170.0,69.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Bronze
65,2583,Buffy-Lynne Alexander-Williams,ceb04acf662a5006e454ebd089ef3e2eed57831c9422ddf5ce9d4a2f9144a3e4,F,27.0,170.0,69.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxless Pairs,
66,2583,Buffy-Lynne Alexander-Williams,ceb04acf662a5006e454ebd089ef3e2eed57831c9422ddf5ce9d4a2f9144a3e4,F,31.0,170.0,69.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,
67,2600,"Edward ""Ed"" Alexiuk",6f67d8145531b3de22fcba9bbe4f6f437dbf9341c02756df2d66298524495f81,M,24.0,188.0,89.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,
68,2732,Caroll-Ann Alie (-Rosenberg),cd8419315f126c0429b36f121613a18fe8a17046fdfdaf2c77ea81831a9e0b41,F,32.0,173.0,60.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Women's Windsurfer,
69,2732,Caroll-Ann Alie (-Rosenberg),cd8419315f126c0429b36f121613a18fe8a17046fdfdaf2c77ea81831a9e0b41,F,36.0,173.0,60.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Women's Windsurfer,
70,2732,Caroll-Ann Alie (-Rosenberg),cd8419315f126c0429b36f121613a18fe8a17046fdfdaf2c77ea81831a9e0b41,F,40.0,173.0,60.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Women's Windsurfer,
71,2807,Wanda Marie Allan-Sadegur,8d41cb63d6e7ac55300505768593ab98cc4f6a80da85ccedfd1d7be88eb9987e,F,21.0,165.0,91.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Archery,Archery Women's Individual,
72,2807,Wanda Marie Allan-Sadegur,8d41cb63d6e7ac55300505768593ab98cc4f6a80da85ccedfd1d7be88eb9987e,F,29.0,165.0,91.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Women's Individual,
73,2834,Charles Tyrone Allen,589e0a408ba09c69ec03f70b7840fadc5cefe41b81482102697d037d3f727e05,M,27.0,175.0,73.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,
74,2834,Charles Tyrone Allen,589e0a408ba09c69ec03f70b7840fadc5cefe41b81482102697d037d3f727e05,M,27.0,175.0,73.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,
75,2851,Kirk Blaine Allen,26cea496165e1e8ba182044882ede5761ae29cb098e501e208a9d601c4644bd7,M,20.0,186.0,75.0,Canada,CAN,1992 Winter,1992,Winter,Albertville,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
76,2851,Kirk Blaine Allen,26cea496165e1e8ba182044882ede5761ae29cb098e501e208a9d601c4644bd7,M,20.0,186.0,75.0,Canada,CAN,1992 Winter,1992,Winter,Albertville,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
